tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0086791,3,24,0,Robin of Sherwood,1984,1986,0,8.4,4794
tt0086802,4,65,0,Snorks,1984,1988,0,6.4,3237
tt0086814,4,90,0,Tales from the Darkside,1983,1988,0,7.4,6752
tt0086817,4,98,0,Transformers,1984,1987,0,8,23096
tt0086818,2,25,0,The Tripods,1984,1985,0,7.4,1532
tt0086824,3,124,0,Voltron: Defender of the Universe,1984,1985,0,7.9,5050
tt0086831,2,16,0,"Yes, Prime Minister",1986,1987,0,8.6,12407
tt0088476,4,77,0,Alfred Hitchcock Presents,1985,1989,0,7.7,3138
tt0088478,2,45,0,Amazing Stories,1985,1987,0,7.4,6216
tt0088491,2,6,0,The Bugs Bunny/Looney Tunes Comedy Hour,1985,1986,0,8.4,17255
tt0088496,2,49,0,The Colbys,1985,1987,0,6,1139
tt0088500,4,65,0,Count Duckula,1988,1993,0,7.4,4141
tt0088503,3,30,0,Dempsey and Makepeace,1985,1986,0,7.3,1946
tt0088510,2,14,0,Star Wars: Droids,1985,1986,0,5.9,2071
tt0088513,4,88,0,The Equalizer,1985,1989,0,7.8,5658
tt0088515,2,26,0,Ewoks,1985,1987,0,6,2163
tt0088563,2,75,0,MASK,1985,1986,0,7.3,4442
tt0088595,3,85,0,Robotech,1985,1985,0,8.5,3915
tt0088610,4,96,0,Small Wonder,1985,1989,0,7,5203
tt0088612,3,66,0,Spenser: For Hire,1985,1988,0,7.3,3136
tt0088631,4,130,0,Thundercats,1985,1989,0,7.9,18578
tt0088634,3,65,0,The Twilight Zone,1985,1989,0,7.7,11918
tt0088640,3,66,0,What's Happening Now!,1985,1988,0,6.2,1203
tt0090390,4,104,0,ALF,1986,1990,0,7.4,37879
tt0090399,3,82,0,Bolji zivot,1987,1991,0,8.4,2123
tt0090410,2,43,0,Crime Story,1986,1988,0,8.3,3224
tt0090459,4,72,0,It's Garry Shandling's Show.,1986,1990,0,7.7,1693
tt0090461,3,65,0,Jem,1985,1988,0,7.4,2955
tt0090503,2,28,0,Pound Puppies,1985,1988,0,6.4,1297
tt0090509,2,13,0,The Return of Sherlock Holmes,1986,1988,0,8.7,12997
tt0090521,2,7,0,The Singing Detective,1986,1986,0,8.6,4672
tt0090525,2,41,0,Sledge Hammer!,1986,1988,0,8.1,7236
tt0092319,3,55,0,Beauty and the Beast,1987,1990,0,7,7597
tt0092345,4,101,0,DuckTales,1987,1990,0,8,34063
tt0092357,3,72,0,Friday the 13th: The Series,1987,1990,0,7.6,3968
tt0092402,2,14,0,Max Headroom,1987,1988,0,7.4,2917
tt0092410,3,60,0,My Two Dads,1987,1990,0,6.2,4067
tt0092423,4,96,0,Out of This World,1987,1991,0,7.3,2136
tt0092468,3,58,0,Tour of Duty,1987,1990,0,8.3,4775
tt0092469,4,80,0,The Tracey Ullman Show,1987,1990,0,7.1,1495
tt0092484,4,74,0,Wiseguy,1987,1990,0,7.8,2789
tt0092492,4,86,0,Thirtysomething,1987,1991,0,7.5,2891
tt0094433,4,62,0,China Beach,1988,1991,0,8.2,3372
tt0094447,4,90,0,Dear John,1988,1992,0,6.8,1741
tt0094466,2,44,0,Freddy's Nightmares,1988,1990,0,6.2,3383
tt0094490,3,49,0,Just the Ten of Us,1987,1990,0,7,1901
tt0094510,3,61,0,Midnight Caller,1988,1991,0,7.7,1701
tt0094511,2,35,0,Mission: Impossible,1988,1990,0,7.5,4174
tt0094512,3,72,0,Monsters,1988,1990,0,7.3,1931
tt0094516,3,72,0,My Secret Identity,1988,1991,0,7.1,1439
tt0094519,4,29,0,The New Statesman,1987,1994,0,7.8,2735
tt0094531,4,27,0,A Pup Named Scooby-Doo,1988,1991,0,6.7,5785
tt0094559,4,100,0,Superboy,1988,1992,0,6,1421
tt0094578,2,44,0,War of the Worlds,1988,1990,0,6.5,1431
tt0096543,4,94,0,Beetlejuice,1989,1991,0,7.3,7701
tt0096554,3,34,0,Captain N: The Game Master,1989,1991,0,6.3,1312
tt0096557,3,65,0,Chip 'n Dale: Rescue Rangers,1989,1990,0,7.6,20987
tt0096569,4,97,0,"Doogie Howser, M.D.",1989,1993,0,6.5,9530
tt0096582,3,43,0,Father Dowling Mysteries,1989,1991,0,6.9,2038
tt0096633,4,110,0,Ginga Eiyuu Densetsu,1988,1997,0,9,4346
