tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0103369,5,200,1,Bishôjo senshi Sêrâ Mûn,1992,1997,1,7.7,7126
tt0103373,7,81,1,Bobby's World,1990,1998,1,7.2,4774
tt0103380,5,78,1,California Dreams,1992,1997,1,7,1837
tt0103396,9,1340,1,Dateline NBC,1992,Ongoing,1,7.2,3221
tt0103405,6,149,1,"Dr. Quinn, Medicine Woman",1993,1998,1,6.8,13196
tt0103408,5,79,1,Eek! the Cat,1992,1997,1,7.2,3271
tt0103435,5,101,1,Hangin' with Mr. Cooper,1992,1997,1,6.4,3472
tt0103442,6,119,1,Highlander,1992,1998,1,7.2,17185
tt0103466,6,89,1,The Larry Sanders Show,1992,1998,1,8.5,9097
tt0103484,8,174,1,Mad About You,1992,2019,1,6.7,24628
tt0103488,5,134,1,Martin,1992,1997,1,7.5,10374
tt0103491,7,219,1,Melrose Place,1992,1999,1,5.9,12911
tt0103520,9,654,1,The Real World,1992,Ongoing,1,5.2,4198
tt0103522,5,66,1,Red Shoe Diaries,1992,1999,1,5.7,1211
tt0103523,9,318,1,Rederiet,1992,2002,1,6.4,1315
tt0103524,5,110,1,Renegade,1992,1997,1,5.9,5614
tt0103569,9,4642,1,The Tonight Show with Jay Leno,1992,2014,1,5.3,10801
tt0103584,5,76,1,X-Men,1992,1997,1,8.4,45774
tt0105929,6,39,1,Absolutely Fabulous,1992,2012,1,8.2,20911
tt0105941,5,99,1,Animaniacs,1993,1998,1,7.9,25204
tt0105943,9,67,1,As Time Goes By,1992,2005,1,8.3,4755
tt0105946,5,111,1,Babylon 5,1993,1998,1,8.4,33655
tt0105950,8,209,1,Beavis and Butt-Head,1993,2011,1,7.5,33556
tt0105958,7,158,1,Boy Meets World,1993,2000,1,8.1,45290
tt0105986,8,178,1,Diagnosis Murder,1993,2001,1,6.8,8323
tt0105999,5,62,1,Flodder,1993,1999,1,6.8,1797
tt0106004,9,263,1,Frasier,1993,2004,1,8.2,90334
tt0106014,7,59,1,Goodnight Sweetheart,1993,2016,1,7.4,3143
