tconst,num_seasons,num_episodes,long
tt0101054,7,52,1
tt0101061,5,35,1
tt0101065,5,66,1
tt0101069,5,93,1
tt0101084,5,56,1
tt0101114,9,372,1
tt0101120,8,203,1
tt0101142,5,40,1
tt0101143,7,45,1
tt0101152,8,39,1
tt0101155,8,168,1
tt0101177,9,305,1
tt0101178,5,55,1
tt0101188,9,178,1
tt0101192,5,52,1
tt0101194,5,49,1
tt0101198,8,176,1
tt0101199,6,127,1
tt0101205,7,160,1
tt0103349,9,358,1
tt0103352,7,91,1
tt0103356,9,146,1
tt0103357,9,135,1
tt0103369,5,200,1
tt0103373,7,81,1
tt0103380,5,78,1
tt0103396,9,1340,1
tt0103405,6,149,1
tt0103408,5,79,1
tt0103420,8,102,1
tt0103435,5,101,1
tt0103442,6,119,1
tt0103454,7,65,1
tt0103466,6,89,1
tt0103469,9,320,1
tt0103484,8,174,1
tt0103488,5,134,1
tt0103491,7,219,1
tt0103520,9,654,1
tt0103522,5,66,1
tt0103523,9,318,1
tt0103524,5,110,1
tt0103549,5,107,1
tt0103556,9,159,1
tt0103569,9,4642,1
tt0103584,5,76,1
tt0105927,9,109,1
tt0105929,6,39,1
tt0105931,5,65,1
tt0105941,5,99,1
tt0105943,9,67,1
tt0105946,5,111,1
tt0105949,6,80,1
tt0105950,8,209,1
tt0105951,6,95,1
tt0105958,7,158,1
tt0105986,8,178,1
tt0105999,5,62,1
tt0106004,9,263,1
tt0106006,5,107,1
tt0106014,7,59,1
tt0106017,5,112,1
tt0106028,7,122,1
tt0106042,9,101,1
tt0106052,9,2766,1
tt0106053,9,6693,1
tt0106056,5,119,1
tt0106072,8,141,1
tt0106077,5,45,1
tt0106079,9,261,1
tt0106080,6,145,1
tt0106087,6,90,1
tt0106090,9,1343,1
tt0106097,9,152,1
tt0106099,5,68,1
tt0106102,5,40,1
tt0106108,5,147,1
tt0106110,5,65,1
tt0106113,9,2566,1
tt0106123,7,143,1
tt0106131,8,70,1
tt0106138,7,82,1
tt0106145,7,173,1
tt0106168,9,196,1
tt0106172,5,296,1
tt0106178,9,173,1
tt0106179,9,217,1
tt0108685,5,65,1
tt0108709,9,510,1
tt0108724,6,141,1
tt0108742,9,215,1
tt0108749,9,86,1
tt0108757,9,331,1
tt0108761,5,108,1
tt0108763,5,57,1
tt0108769,6,38,1
tt0108770,5,57,1
tt0108778,9,234,1
tt0108793,6,81,1
tt0108794,5,11,1
tt0108800,7,210,1
tt0108810,9,193,1
tt0108821,9,2770,1
tt0108826,6,27,1
tt0108827,9,197,1
tt0108829,9,119,1
tt0108830,6,66,1
tt0108835,9,63,1
tt0108845,5,65,1
tt0108865,5,70,1
tt0108867,5,30,1
tt0108894,6,143,1
tt0108897,9,2267,1
tt0108904,5,51,1
tt0108913,9,130,1
tt0108914,5,84,1
tt0108927,6,119,1
tt0108937,9,117,1
tt0108961,9,303,1
tt0108964,9,228,1
tt0108967,9,42,1
tt0108968,9,211,1
tt0108970,9,123,1
tt0108975,5,70,1
tt0108985,9,243,1
tt0108988,5,88,1
tt0108992,5,38,1
tt0109373,6,75,1
tt0111875,9,216,1
tt0111876,6,79,1
tt0111887,9,124,1
tt0111889,9,125,1
tt0111942,6,81,1
tt0111943,6,104,1
tt0111945,9,233,1
tt0111957,7,42,1
tt0111973,5,65,1
tt0111974,9,301,1
tt0111984,7,90,1
tt0111994,6,104,1
tt0111999,6,111,1
tt0112015,5,76,1
tt0112022,9,227,1
tt0112035,9,589,1
tt0112043,5,37,1
tt0112044,9,1288,1
tt0112056,9,329,1
tt0112058,9,9,1
tt0112095,5,97,1
tt0112111,7,152,1
tt0112112,5,101,1
tt0112115,5,90,1
tt0112133,7,44,1
tt0112135,6,170,1
tt0112164,5,151,1
tt0112166,5,114,1
tt0112167,5,87,1
tt0112175,5,65,1
tt0112178,7,168,1
tt0112186,5,52,1
tt0112193,9,154,1
tt0112206,5,100,1
tt0112207,9,221,1
tt0112220,5,105,1
tt0112230,6,134,1
tt0112239,7,38,1
tt0114639,9,21,1
tt0114686,8,60,1
tt0115082,6,139,1
tt0115083,9,243,1
tt0115088,9,382,1
tt0115101,7,80,1
tt0115105,6,58,1
tt0115147,9,4187,1
tt0115167,9,210,1
tt0115171,7,168,1
tt0115178,9,85,1
tt0115189,6,924,1
tt0115200,5,103,1
tt0115207,7,97,1
tt0115209,5,65,1
tt0115221,5,100,1
tt0115227,9,7282,1
tt0115233,8,23,1
tt0115253,5,14,1
tt0115255,5,64,1
tt0115275,6,127,1
tt0115283,5,56,1
tt0115284,9,120,1
tt0115285,6,122,1
tt0115286,9,312,1
tt0115299,6,128,1
tt0115338,6,2172,1
tt0115341,7,163,1
tt0115347,9,144,1
tt0115355,9,239,1
tt0115360,6,473,1
tt0115369,6,145,1
tt0115372,6,122,1
tt0115382,6,46,1
tt0115383,7,203,1
tt0115397,5,83,1
tt0115417,6,177,1
tt0115420,5,65,1
tt0115425,6,59,1
tt0116954,9,24,1
tt0117367,9,6094,1
tt0118254,5,112,1
tt0118255,9,261,1
tt0118259,8,87,1
tt0118276,7,145,1
tt0118281,9,117,1
tt0118285,5,44,1
tt0118298,5,67,1
tt0118300,6,128,1
tt0118303,5,119,1
tt0118314,14,14,1
tt0118358,9,140,1
tt0118363,5,32,1
tt0118364,7,149,1
tt0118372,9,111,1
tt0118375,9,258,1
tt0118378,9,301,1
tt0118379,5,96,1
tt0118401,9,136,1
tt0118421,6,56,1
tt0118437,8,167,1
tt0118479,9,177,1
tt0118480,9,213,1
tt0118515,6,115,1
tt0120919,52,522,1
tt0120926,6,30,1
tt0120930,6,92,1
tt0120958,9,41,1
tt0120974,27,3370,1
tt0120986,9,5054,1
tt0120992,9,3886,1
tt0121002,5,30,1
tt0121027,9,139,1
tt0121031,9,24,1
tt0121949,8,316,1
tt0121955,9,330,1
tt0121961,6,82,1
tt0122333,5,63,1
tt0122335,9,1207,1
tt0122339,6,62,1
tt0122364,5,320,1
tt0122827,9,123,1
tt0123338,9,2159,1
tt0123349,9,58,1
tt0123355,9,172,1
tt0123357,6,133,1
tt0123366,7,3995,1
tt0123816,5,110,1
tt0124234,6,142,1
tt0124243,9,46,1
tt0124253,7,53,1
tt0124703,6,57,1
tt0124932,7,1109,1
tt0124938,9,121,1
tt0124955,6,130,1
tt0124958,9,120,1
tt0125616,6,118,1
tt0125620,5,55,1
tt0125634,9,111,1
tt0125644,5,47,1
tt0125647,9,107,1
tt0126162,9,28,1
tt0126170,6,129,1
tt0126739,9,53,1
tt0127369,9,151,1
tt0127991,6,882,1
tt0127994,7,200,1
tt0127998,9,293,1
tt0128007,5,56,1
tt0128890,5,65,1
tt0129685,9,511,1
tt0129709,9,67,1
tt0129710,9,148,1
tt0129717,5,120,1
tt0129723,9,799,1
tt0131159,9,320,1
tt0131163,5,33,1
tt0131179,9,1123,1
tt0131183,5,60,1
tt0131613,9,193,1
tt0131678,9,174,1
tt0132666,5,63,1
tt0133021,5,39,1
tt0133299,6,71,1
tt0133300,7,13,1
tt0133302,9,823,1
tt0133323,5,179,1
tt0134250,6,78,1
tt0134253,8,87,1
tt0134258,5,12,1
tt0135097,9,442,1
tt0135117,9,42,1
tt0135730,5,44,1
tt0135733,9,1770,1
tt0135736,9,65,1
tt0136634,7,50,1
tt0136651,5,89,1
tt0136668,43,1708,1
tt0136671,6,198,1
tt0137302,5,86,1
tt0137305,5,21,1
tt0137316,5,118,1
tt0137323,11,41,1
tt0138228,9,7965,1
tt0138266,5,46,1
tt0138956,6,61,1
tt0138959,7,98,1
tt0138968,5,1051,1
tt0139781,8,260,1
tt0139802,6,37,1
tt0139803,9,2215,1
tt0140733,9,869,1
tt0140740,9,9,1
tt0140756,8,183,1
tt0141842,6,86,1
tt0142040,7,488,1
tt0142049,8,227,1
tt0143036,5,7,1
tt0143055,9,2488,1
tt0143058,9,109,1
tt0143060,9,197,1
tt0143072,6,77,1
tt0143074,9,353,1
tt0143078,9,69,1
tt0143080,6,10,1
tt0143081,7,203,1
tt0144048,8,128,1
tt0144050,9,406,1
tt0144061,7,82,1
tt0144701,9,248,1
tt0144724,9,6245,1
tt0144728,5,32,1
tt0144733,9,13,1
tt0145614,7,56,1
tt0146370,9,183,1
tt0146386,9,446,1
tt0147745,7,22,1
tt0147757,5,105,1
tt0147760,9,61,1
tt0147793,7,14,1
tt0149314,9,153,1
tt0149407,7,145,1
tt0149413,8,9,1
tt0149416,5,157,1
tt0149431,6,45,1
tt0149434,5,94,1
tt0149439,6,33,1
tt0149452,35,47,1
tt0149453,9,274,1
tt0149460,9,160,1
tt0149476,9,352,1
tt0149490,77,1084,1
tt0149509,9,190,1
tt0149534,29,3140,1
tt0149540,5,32,1
tt0149546,9,949,1
tt0154053,43,2249,1
tt0154062,5,759,1
tt0154063,6,1150,1
tt0154094,9,110,1
tt0155394,5,76,1
tt0155436,5,37,1
tt0155445,7,80,1
tt0155446,9,828,1
tt0155452,9,332,1
tt0156200,6,78,1
tt0156228,9,56,1
tt0156442,7,91,1
tt0157232,9,73,1
tt0157246,9,246,1
tt0158405,7,25,1
tt0158427,8,557,1
tt0158552,8,179,1
tt0159156,9,275,1
tt0159187,7,136,1
tt0159206,6,94,1
tt0159216,5,46,1
tt0159226,5,72,1
tt0159847,9,462,1
tt0159852,7,84,1
tt0159867,8,191,1
tt0159876,9,809,1
tt0159881,9,8882,1
tt0159886,9,87,1
tt0159898,9,236,1
tt0159911,6,66,1
tt0160904,9,86,1
tt0161126,9,451,1
tt0161146,7,41,1
tt0161180,8,64,1
tt0161186,5,156,1
tt0161194,9,902,1
