tconst,num_seasons,num_episodes,long
tt0050054,1,41,0
tt0050055,2,78,0
tt0050056,4,77,0
tt0050057,3,157,0
tt0050058,2,26,0
tt0050059,1,26,0
tt0050060,1,13,0
tt0050061,2,79,0
tt0050062,3,105,0
tt0050063,4,69,0
tt0050064,1,42,0
tt0050065,1,39,0
tt0050066,6,201,1
tt0050067,2,72,0
tt0050069,3,91,0
tt0050070,1,25,0
tt0050071,2,71,0
tt0050072,9,222,1
tt0050073,8,284,1
tt0050074,6,42,1
tt0050075,1,14,0
tt0050077,3,111,0
tt0050079,3,82,0
tt0051180,1,15,0
tt0051247,6,206,1
tt0051249,1,40,0
tt0051250,1,26,0
tt0051251,3,93,0
tt0051253,1,26,0
tt0051254,1,13,0
tt0051257,9,2594,1
tt0051258,1,13,0
tt0051261,4,68,0
tt0051262,1,39,0
tt0051263,1,32,0
tt0051264,2,25,0
tt0051266,1,26,0
tt0051267,8,275,1
tt0051269,1,7,0
tt0051270,1,15,0
tt0051271,2,27,0
tt0051272,1,912,0
tt0051273,1,39,0
tt0051274,3,32,0
tt0051275,1,32,0
tt0051276,7,227,1
tt0051277,1,25,0
tt0051282,2,52,0
tt0051283,4,70,0
tt0051284,1,10,0
tt0051285,2,27,0
tt0051286,1,39,0
tt0051287,2,26,0
tt0051288,3,92,0
tt0051289,1,123,0
tt0051290,4,156,0
tt0051291,1,13,0
tt0051292,1,39,0
tt0051293,2,29,0
tt0051295,1,25,0
tt0051297,4,138,0
tt0051298,1,29,0
tt0051299,1,26,0
tt0051301,3,114,0
tt0051304,1,12,0
tt0051305,1,6,0
tt0051306,1,8,0
tt0051307,2,74,0
tt0051308,5,168,1
tt0051309,1,39,0
tt0051310,1,18,0
tt0051311,4,155,0
tt0051312,2,41,0
tt0051313,1,3,0
tt0051315,1,25,0
tt0051316,3,45,0
tt0051317,1,34,0
tt0051318,1,6,0
tt0051319,1,41,0
tt0051320,2,79,0
tt0051321,1,39,0
tt0051322,1,3,0
tt0051324,3,70,0
tt0051325,1,38,0
tt0051327,3,94,0
tt0051328,2,42,0
tt0051329,1,34,0
tt0051330,1,79,0
tt0052439,1,13,0
tt0052440,3,91,0
tt0052441,1,37,0
tt0052442,3,97,0
tt0052443,1,6,0
tt0052445,3,108,0
tt0052446,1,21,0
tt0052447,9,128,1
tt0052448,1,30,0
tt0052449,2,44,0
tt0052450,1,46,0
tt0052451,9,430,1
tt0052452,1,39,0
tt0052453,1,39,0
tt0052454,2,27,0
tt0052455,1,39,0
tt0052457,1,26,0
tt0052458,1,13,0
tt0052459,1,39,0
tt0052460,1,32,0
tt0052461,4,146,0
tt0052462,2,76,0
tt0052463,3,97,0
tt0052464,2,57,0
tt0052465,1,26,0
tt0052466,1,16,0
tt0052467,1,39,0
tt0052468,1,39,0
tt0052470,1,39,0
tt0052471,1,40,0
tt0052472,4,134,0
tt0052473,3,95,0
tt0052474,1,32,0
tt0052475,1,39,0
tt0052477,1,38,0
tt0052478,1,38,0
tt0052479,1,27,0
tt0052480,1,19,0
tt0052481,4,124,0
tt0052482,1,2,0
tt0052483,1,30,0
